city,date,gender,match_referees,tv_umpires,first_umpire,second_umpire,win_by,win_with,result,player_of_match,team_1,team_2,elected_first,toss_winner,venue,mergeid
Southampton,2005-06-13,male,JJ Crowe,MR Benson,NJ Llong,JW Lloyds,runs,100.0,England,['KP Pietersen'],England,Australia,bat,England,The Rose Bowl,31231
Auckland,2005-02-17,male,CH Lloyd,DB Cowie,BF Bowden,AL Hill,runs,44.0,Australia,['RT Ponting'],New Zealand,Australia,bat,Australia,Eden Park,32232
Johannesburg,2005-10-21,male,BC Broad,KH Hurter,IL Howell,BG Jerling,wickets,5.0,New Zealand,['JS Patel'],South Africa,New Zealand,field,New Zealand,New Wanderers Stadium,33233
Bristol,2006-08-28,male,MJ Procter,IJ Gould,PJ Hartley,NJ Llong,wickets,5.0,Pakistan,['Shahid Afridi'],England,Pakistan,bat,England,County Ground,34234
Southampton,2006-06-15,male,CH Lloyd,PJ Hartley,IJ Gould,NJ Llong,runs,2.0,Sri Lanka,['ST Jayasuriya'],England,Sri Lanka,bat,Sri Lanka,The Rose Bowl,35235
Brisbane,2006-01-09,male,RG Archer,NS McNamara,BNJ Oxenford,RL Parry,runs,95.0,Australia,['DR Martyn'],Australia,South Africa,bat,Australia,"Brisbane Cricket Ground, Woolloongabba",36236
Auckland,2006-02-16,male,MJ Procter,BG Frost,BF Bowden,AL Hill,,,tie,['DR Smith'],New Zealand,West Indies,field,New Zealand,Eden Park,37237
Johannesburg,2006-02-24,male,BC Broad,BG Jerling,M Erasmus,KH Hurter,runs,2.0,South Africa,['GC Smith'],South Africa,Australia,bat,South Africa,New Wanderers Stadium,38238
,2007-01-09,male,RS Madugalle,RJ Tucker,PD Parker,RL Parry,runs,77.0,Australia,['CL White'],Australia,England,bat,Australia,Sydney Cricket Ground,39239
Wellington,2006-12-22,male,J Srinath,GAV Baxter,AL Hill,EA Watkin,runs,18.0,Sri Lanka,['ST Jayasuriya'],New Zealand,Sri Lanka,bat,New Zealand,Westpac Stadium,3102310
Auckland,2006-12-26,male,J Srinath,GAV Baxter,BF Bowden,AL Hill,wickets,5.0,New Zealand,['JEC Franklin'],New Zealand,Sri Lanka,field,New Zealand,Eden Park,3112311
Johannesburg,2006-12-01,male,BC Broad,KH Hurter,IL Howell,BG Jerling,wickets,6.0,India,['KD Karthik'],South Africa,India,bat,South Africa,New Wanderers Stadium,3122312
London,2007-06-28,male,MJ Procter,IJ Gould,PJ Hartley,NJ Llong,runs,15.0,West Indies,['PD Collingwood'],England,West Indies,bat,West Indies,Kennington Oval,3132313
London,2007-06-29,male,MJ Procter,PJ Hartley,IJ Gould,NJ Llong,wickets,5.0,England,['OA Shah'],England,West Indies,bat,West Indies,Kennington Oval,3142314
Johannesburg,2007-09-11,male,BC Broad,NJ Llong,MR Benson,DJ Harper,wickets,8.0,South Africa,['CH Gayle'],South Africa,West Indies,field,South Africa,New Wanderers Stadium,3152315
Durban,2007-09-12,male,MJ Procter,SJ Davis,BR Doctrove,SJA Taufel,wickets,9.0,New Zealand,['MR Gillespie'],Kenya,New Zealand,field,New Zealand,Kingsmead,3162316
Durban,2007-09-12,male,MJ Procter,BR Doctrove,SJ Davis,SJA Taufel,runs,51.0,Pakistan,['Shahid Afridi'],Pakistan,Scotland,field,Scotland,Kingsmead,3172317
Cape Town,2007-09-12,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,wickets,5.0,Zimbabwe,['BRM Taylor'],Australia,Zimbabwe,bat,Australia,Newlands,3182318
Johannesburg,2007-09-13,male,BC Broad,DJ Harper,MR Benson,NJ Llong,wickets,6.0,Bangladesh,['Mohammad Ashraful'],Bangladesh,West Indies,field,Bangladesh,New Wanderers Stadium,3192319
Cape Town,2007-09-13,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,runs,50.0,England,['KP Pietersen'],England,Zimbabwe,bat,England,Newlands,3202320
Johannesburg,2007-09-14,male,BC Broad,MR Benson,DJ Harper,NJ Llong,runs,172.0,Sri Lanka,['ST Jayasuriya'],Kenya,Sri Lanka,field,Kenya,New Wanderers Stadium,3212321
Cape Town,2007-09-14,male,RS Madugalle,AL Hill,Asad Rauf,IL Howell,wickets,8.0,Australia,['NW Bracken'],Australia,England,bat,England,Newlands,3222322
Durban,2007-09-14,male,MJ Procter,SJ Davis,BR Doctrove,SJA Taufel,,,tie,['Mohammad Asif'],India,Pakistan,field,Pakistan,Kingsmead,3232323
Johannesburg,2007-09-15,male,BC Broad,NJ Llong,MR Benson,DJ Harper,wickets,7.0,Sri Lanka,['ST Jayasuriya'],New Zealand,Sri Lanka,bat,New Zealand,New Wanderers Stadium,3242324
Cape Town,2007-09-15,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,wickets,7.0,South Africa,['M Morkel'],South Africa,Bangladesh,field,South Africa,Newlands,3252325
Johannesburg,2007-09-16,male,BC Broad,DJ Harper,MR Benson,NJ Llong,runs,10.0,New Zealand,['DL Vettori'],India,New Zealand,field,India,New Wanderers Stadium,3262326
Cape Town,2007-09-16,male,RS Madugalle,AL Hill,Asad Rauf,IL Howell,wickets,9.0,Australia,['B Lee'],Australia,Bangladesh,field,Australia,Newlands,3272327
Cape Town,2007-09-16,male,RS Madugalle,IL Howell,Asad Rauf,AL Hill,runs,19.0,South Africa,['JA Morkel'],South Africa,England,field,England,Newlands,3282328
Johannesburg,2007-09-17,male,BC Broad,MR Benson,DJ Harper,NJ Llong,runs,33.0,Pakistan,['Younis Khan'],Pakistan,Sri Lanka,field,Sri Lanka,New Wanderers Stadium,3292329
Durban,2007-09-18,male,MJ Procter,SJ Davis,BR Doctrove,SJA Taufel,runs,5.0,New Zealand,['CD McMillan'],England,New Zealand,field,England,Kingsmead,3302330
Johannesburg,2007-09-18,male,BC Broad,DJ Harper,MR Benson,NJ Llong,wickets,6.0,Pakistan,['Misbah-ul-Haq'],Australia,Pakistan,field,Pakistan,New Wanderers Stadium,3312331
Johannesburg,2007-09-18,male,BC Broad,NJ Llong,MR Benson,DJ Harper,runs,64.0,Sri Lanka,['CRD Fernando'],Bangladesh,Sri Lanka,field,Bangladesh,New Wanderers Stadium,3322332
Durban,2007-09-19,male,RS Madugalle,SJ Davis,BR Doctrove,SJA Taufel,wickets,6.0,South Africa,['JM Kemp'],South Africa,New Zealand,field,South Africa,Kingsmead,3332333
Durban,2007-09-19,male,RS Madugalle,SJ Davis,BR Doctrove,SJA Taufel,runs,18.0,India,['Yuvraj Singh'],England,India,bat,India,Kingsmead,3342334
Cape Town,2007-09-20,male,RS Madugalle,AL Hill,Asad Rauf,IL Howell,wickets,10.0,Australia,['SR Clark'],Australia,Sri Lanka,field,Australia,Newlands,3352335
Cape Town,2007-09-20,male,MJ Procter,Asad Rauf,AL Hill,IL Howell,wickets,4.0,Pakistan,['Junaid Siddique'],Bangladesh,Pakistan,field,Pakistan,Newlands,3362336
Durban,2007-09-20,male,RS Madugalle,SJ Davis,BR Doctrove,SJA Taufel,runs,37.0,India,['RG Sharma'],South Africa,India,bat,India,Kingsmead,3372337
Cape Town,2007-09-22,male,MJ Procter,IL Howell,DJ Harper,SJA Taufel,wickets,6.0,Pakistan,['Umar Gul'],New Zealand,Pakistan,bat,New Zealand,Newlands,3382338
Durban,2007-09-22,male,BC Broad,BR Doctrove,Asad Rauf,MR Benson,runs,15.0,India,['Yuvraj Singh'],Australia,India,bat,India,Kingsmead,3392339
Johannesburg,2007-09-24,male,RS Madugalle,DJ Harper,MR Benson,SJA Taufel,runs,5.0,India,['IK Pathan'],India,Pakistan,bat,India,New Wanderers Stadium,3402340
Perth,2007-12-11,male,RS Mahanama,BNJ Oxenford,SJ Davis,PD Parker,runs,54.0,Australia,['A Symonds'],Australia,New Zealand,bat,Australia,Western Australia Cricket Association Ground,3412341
,2008-02-01,male,JJ Crowe,RL Parry,BNJ Oxenford,SJA Taufel,wickets,9.0,Australia,['MJ Clarke'],Australia,India,bat,India,Melbourne Cricket Ground,3422342
Manchester,2008-06-13,male,J Srinath,RA Kettleborough,IJ Gould,PJ Hartley,wickets,9.0,England,['IR Bell'],England,New Zealand,field,England,Old Trafford,3432343
Mumbai,2007-10-20,male,BC Broad,GA Pratapkumar,AM Saheba,SL Shastri,wickets,7.0,India,['G Gambhir'],India,Australia,bat,Australia,Brabourne Stadium,3442344
Johannesburg,2007-11-23,male,J Srinath,M Erasmus,IL Howell,BG Jerling,wickets,3.0,South Africa,['AB de Villiers'],South Africa,New Zealand,field,South Africa,New Wanderers Stadium,3452345
Johannesburg,2008-01-18,male,J Srinath,IL Howell,BG Jerling,RE Koertzen,wickets,4.0,South Africa,['SM Pollock'],South Africa,West Indies,field,South Africa,New Wanderers Stadium,3462346
Auckland,2008-02-05,male,AG Hurst,EA Watkin,GAV Baxter,BF Bowden,runs,32.0,England,['AD Mascarenhas'],New Zealand,England,field,New Zealand,Eden Park,3472347
Christchurch,2008-02-07,male,AG Hurst,EA Watkin,GAV Baxter,BF Bowden,runs,50.0,England,['PD Collingwood'],New Zealand,England,bat,England,Jade Stadium,3482348
Nairobi,2007-09-01,male,MJ Procter,,R D'Mello,SR Modi,wickets,5.0,Bangladesh,['Nazimuddin'],Kenya,Bangladesh,field,Bangladesh,Gymkhana Club Ground,3492349
Nairobi,2007-09-02,male,MJ Procter,,R D'Mello,SR Modi,runs,30.0,Pakistan,['Imran Nazir'],Bangladesh,Pakistan,field,Bangladesh,Gymkhana Club Ground,3502350
Nairobi,2007-09-04,male,MJ Procter,,SR Modi,IO Oyieko,wickets,8.0,Pakistan,['Younis Khan'],Kenya,Pakistan,bat,Kenya,Gymkhana Club Ground,3512351
Port Elizabeth,2007-12-16,male,RS Madugalle,M Erasmus,IL Howell,BG Jerling,wickets,5.0,West Indies,['JE Taylor'],South Africa,West Indies,field,West Indies,St George's Park,3522352
Barbados,2008-06-20,male,RS Mahanama,GE Greaves,BR Doctrove,CR Duncan,wickets,7.0,West Indies,['XM Marshall'],West Indies,Australia,field,West Indies,"Kensington Oval, Bridgetown",3532353
Karachi,2008-04-20,male,MJ Procter,Saleem Badar,Nadeem Ghauri,Zameer Haider,runs,102.0,Pakistan,['Misbah-ul-Haq'],Pakistan,Bangladesh,bat,Pakistan,National Stadium,3542354
Manchester,2009-08-30,male,RS Madugalle,PJ Hartley,IJ Gould,RA Kettleborough,,,no result,,England,Australia,field,England,Old Trafford,3552355
Johannesburg,2008-11-05,male,RS Mahanama,IL Howell,M Erasmus,BG Jerling,runs,12.0,South Africa,['Abdur Razzak'],South Africa,Bangladesh,field,Bangladesh,New Wanderers Stadium,3562356
Johannesburg,2009-03-27,male,JJ Crowe,BG Jerling,M Erasmus,RE Koertzen,wickets,4.0,South Africa,['DJ Hussey'],South Africa,Australia,field,South Africa,New Wanderers Stadium,3572357
Centurion,2009-03-29,male,JJ Crowe,RE Koertzen,M Erasmus,BG Jerling,runs,17.0,South Africa,['RE van der Merwe'],South Africa,Australia,field,Australia,SuperSport Park,3582358
,2009-01-11,male,RS Madugalle,PR Reiffel,BNJ Oxenford,RJ Tucker,runs,52.0,Australia,['DA Warner'],Australia,South Africa,bat,Australia,Melbourne Cricket Ground,3592359
Brisbane,2009-01-13,male,RS Madugalle,BNJ Oxenford,PR Reiffel,RJ Tucker,wickets,6.0,Australia,['MEK Hussey'],Australia,South Africa,bat,South Africa,"Brisbane Cricket Ground, Woolloongabba",3602360
,2009-02-15,male,RS Mahanama,RJ Tucker,BNJ Oxenford,PR Reiffel,runs,1.0,Australia,['NW Bracken'],Australia,New Zealand,bat,Australia,Sydney Cricket Ground,3612361
Trinidad,2009-03-15,male,J Srinath,CE Mack,CR Duncan,NA Malcolm,wickets,6.0,West Indies,['RR Sarwan'],West Indies,England,field,West Indies,"Queen's Park Oval, Port of Spain",3622362
Belfast,2008-08-03,male,BC Broad,,NG Bagh,Sarika Prasad,wickets,8.0,Scotland,['JD Nel'],Bermuda,Scotland,field,Scotland,"Civil Service Cricket Club, Stormont",3632363
Nottingham,2009-06-18,female,BC Broad,IJ Gould,Asad Rauf,MR Benson,runs,52.0,New Zealand,['AL Watkins'],India,New Zealand,bat,New Zealand,Trent Bridge,3642364
London,2009-06-19,female,AG Hurst,EAR de Silva,BR Doctrove,AL Hill,wickets,8.0,England,['SC Taylor'],England,Australia,field,England,Kennington Oval,3652365
London,2009-06-05,male,AG Hurst,AL Hill,SJ Davis,EAR de Silva,wickets,4.0,Netherlands,['TN de Grooth'],England,Netherlands,field,Netherlands,Lord's,3662366
London,2009-06-06,male,RS Madugalle,RE Koertzen,BR Doctrove,DJ Harper,wickets,7.0,New Zealand,['IG Butler'],New Zealand,Scotland,field,New Zealand,Kennington Oval,3672367
London,2009-06-06,male,RS Madugalle,MR Benson,Aleem Dar,Asad Rauf,wickets,7.0,West Indies,['CH Gayle'],Australia,West Indies,bat,Australia,Kennington Oval,3682368
Nottingham,2009-06-06,male,BC Broad,NJ Llong,BF Bowden,SJA Taufel,runs,25.0,India,['PP Ojha'],Bangladesh,India,bat,India,Trent Bridge,3692369
London,2009-06-07,male,RS Madugalle,DJ Harper,Asad Rauf,AM Saheba,runs,130.0,South Africa,['AB de Villiers'],Scotland,South Africa,field,Scotland,Kennington Oval,3702370
London,2009-06-07,male,RS Madugalle,AM Saheba,BR Doctrove,DJ Harper,runs,48.0,England,['LJ Wright'],England,Pakistan,field,Pakistan,Kennington Oval,3712371
Nottingham,2009-06-08,male,BC Broad,IJ Gould,NJ Llong,SJA Taufel,wickets,6.0,Ireland,"[""NJ O'Brien""]",Bangladesh,Ireland,field,Ireland,Trent Bridge,3722372
Nottingham,2009-06-08,male,BC Broad,NJ Llong,BF Bowden,IJ Gould,wickets,6.0,Sri Lanka,['KC Sangakkara'],Australia,Sri Lanka,field,Sri Lanka,Trent Bridge,3732373
London,2009-06-09,male,AG Hurst,DJ Harper,BR Doctrove,AM Saheba,runs,82.0,Pakistan,['Kamran Akmal'],Netherlands,Pakistan,bat,Pakistan,Lord's,3742374
London,2009-06-09,male,AG Hurst,AM Saheba,Asad Rauf,DJ Harper,runs,1.0,South Africa,['RE van der Merwe'],New Zealand,South Africa,field,New Zealand,Lord's,3752375
Nottingham,2009-06-10,male,BC Broad,BF Bowden,IJ Gould,NJ Llong,wickets,8.0,India,['Z Khan'],India,Ireland,field,India,Trent Bridge,3762376
Nottingham,2009-06-10,male,BC Broad,IJ Gould,BF Bowden,SJA Taufel,runs,15.0,Sri Lanka,['ST Jayasuriya'],Sri Lanka,West Indies,field,West Indies,Trent Bridge,3772377
Nottingham,2009-06-11,male,AG Hurst,SJ Davis,EAR de Silva,M Erasmus,runs,83.0,New Zealand,['AJ Redmond'],Ireland,New Zealand,field,Ireland,Trent Bridge,3782378
Nottingham,2009-06-11,male,AG Hurst,EAR de Silva,SJ Davis,AL Hill,wickets,7.0,South Africa,['JH Kallis'],England,South Africa,bat,England,Trent Bridge,3792379
London,2009-06-12,male,BC Broad,RJ Tucker,MR Benson,RE Koertzen,runs,19.0,Sri Lanka,['TM Dilshan'],Pakistan,Sri Lanka,bat,Sri Lanka,Lord's,3802380
London,2009-06-12,male,BC Broad,MR Benson,Aleem Dar,RE Koertzen,wickets,7.0,West Indies,['DJ Bravo'],India,West Indies,bat,India,Lord's,3812381
London,2009-06-13,male,RS Madugalle,RJ Tucker,Aleem Dar,MR Benson,runs,20.0,South Africa,['WD Parnell'],South Africa,West Indies,field,West Indies,Kennington Oval,3822382
London,2009-06-13,male,RS Madugalle,RE Koertzen,MR Benson,RJ Tucker,wickets,6.0,Pakistan,['Umar Gul'],New Zealand,Pakistan,bat,New Zealand,Kennington Oval,3832383
London,2009-06-14,male,AG Hurst,SJ Davis,M Erasmus,AL Hill,runs,9.0,Sri Lanka,['DPMD Jayawardene'],Ireland,Sri Lanka,bat,Sri Lanka,Lord's,3842384
London,2009-06-14,male,AG Hurst,M Erasmus,SJ Davis,EAR de Silva,runs,3.0,England,['RJ Sidebottom'],England,India,field,India,Lord's,3852385
London,2009-06-15,male,RS Madugalle,RJ Tucker,Aleem Dar,RE Koertzen,wickets,5.0,West Indies,['RR Sarwan'],England,West Indies,bat,England,Kennington Oval,3862386
London,2009-06-15,male,RS Madugalle,MR Benson,RE Koertzen,RJ Tucker,runs,39.0,Pakistan,['Kamran Akmal'],Ireland,Pakistan,bat,Pakistan,Kennington Oval,3872387
Nottingham,2009-06-16,male,BC Broad,NJ Llong,SJ Davis,SJA Taufel,runs,48.0,Sri Lanka,['BAW Mendis'],New Zealand,Sri Lanka,bat,Sri Lanka,Trent Bridge,3882388
Nottingham,2009-06-16,male,BC Broad,SJA Taufel,BF Bowden,IJ Gould,runs,12.0,South Africa,['AB de Villiers'],India,South Africa,bat,South Africa,Trent Bridge,3892389
Nottingham,2009-06-18,male,BC Broad,SJA Taufel,BF Bowden,SJ Davis,runs,7.0,Pakistan,['Shahid Afridi'],Pakistan,South Africa,bat,Pakistan,Trent Bridge,3902390
London,2009-06-19,male,AG Hurst,DJ Harper,Aleem Dar,RE Koertzen,runs,57.0,Sri Lanka,['TM Dilshan'],Sri Lanka,West Indies,field,West Indies,Kennington Oval,3912391
London,2009-06-21,male,BC Broad,SJ Davis,DJ Harper,SJA Taufel,wickets,8.0,Pakistan,['Shahid Afridi'],Pakistan,Sri Lanka,bat,Sri Lanka,Lord's,3922392
Belfast,2008-08-04,male,BC Broad,,DB Hair,Sarika Prasad,wickets,4.0,Ireland,['AC Botha'],Ireland,Kenya,field,Ireland,"Civil Service Cricket Club, Stormont",3932393
Belfast,2008-08-04,male,BC Broad,,NG Bagh,PK Baldwin,wickets,5.0,Netherlands,['RN ten Doeschate'],Netherlands,Scotland,field,Netherlands,"Civil Service Cricket Club, Stormont",3942394
King City,2008-10-11,male,JJ Crowe,K Shanthikumar,K Bayney,MR Benson,wickets,3.0,Pakistan,['Shoaib Malik'],Pakistan,Sri Lanka,field,Pakistan,Maple Leaf North-West Ground,3952395
King City,2008-10-13,male,JJ Crowe,AR Maddela,K Bayney,MR Benson,wickets,5.0,Sri Lanka,['ST Jayasuriya'],Pakistan,Sri Lanka,field,Sri Lanka,Maple Leaf North-West Ground,3962396
Wellington,2009-02-27,male,RS Madugalle,EA Watkin,GAV Baxter,AL Hill,wickets,5.0,New Zealand,['BB McCullum'],New Zealand,India,field,New Zealand,Westpac Stadium,3972397
Auckland,2008-12-26,male,J Srinath,EA Watkin,BF Bowden,AL Hill,,,tie,['CH Gayle'],New Zealand,West Indies,bat,New Zealand,"Eden Park, Auckland",3982398
Hamilton,2008-12-28,male,J Srinath,AL Hill,GAV Baxter,EA Watkin,runs,36.0,New Zealand,['JD Ryder'],New Zealand,West Indies,bat,New Zealand,Seddon Park,3992399
Christchurch,2009-02-25,male,RS Madugalle,AL Hill,GAV Baxter,EA Watkin,wickets,7.0,New Zealand,['BB McCullum'],New Zealand,India,field,New Zealand,AMI Stadium,310023100
Colombo,2009-02-10,male,BC Broad,HDPK Dharmasena,MG Silva,TH Wijewardene,wickets,3.0,India,['YK Pathan'],Sri Lanka,India,bat,Sri Lanka,R Premadasa Stadium,310123101
Johannesburg,2009-11-13,male,J Srinath,JD Cloete,M Erasmus,BG Jerling,runs,1.0,England,['EJG Morgan'],South Africa,England,field,South Africa,New Wanderers Stadium,310223102
Centurion,2009-11-15,male,J Srinath,JD Cloete,M Erasmus,BG Jerling,runs,84.0,South Africa,['LE Bosman'],South Africa,England,bat,South Africa,SuperSport Park,310323103
Derby,2009-06-25,female,DT Jukes,JW Holder,SA Garratt,P Willey,runs,34.0,Australia,['S Nitschke'],England,Australia,bat,Australia,County Ground,310423104
,2009-05-07,male,JJ Crowe,Nadeem Ghauri,Aleem Dar,Zameer Haider,wickets,7.0,Pakistan,"['Shahid Afridi', 'Umar Gul']",Australia,Pakistan,field,Pakistan,Dubai International Cricket Stadium,310523105
St Kitts,2009-08-02,male,RS Mahanama,CE Mack,CR Duncan,NA Malcolm,wickets,5.0,West Indies,['DJG Sammy'],West Indies,Bangladesh,bat,Bangladesh,"Warner Park, Basseterre",310623106
Colombo,2009-08-12,male,AG Hurst,MG Silva,EAR de Silva,TH Wijewardene,runs,52.0,Pakistan,['Shahid Afridi'],Sri Lanka,Pakistan,bat,Pakistan,R Premadasa Stadium,310723107
Colombo,2009-09-02,male,AJ Pycroft,MG Silva,EAR de Silva,HDPK Dharmasena,runs,3.0,New Zealand,['DL Vettori'],Sri Lanka,New Zealand,bat,New Zealand,R Premadasa Stadium,310823108
Colombo,2009-09-04,male,AJ Pycroft,HDPK Dharmasena,MG Silva,TH Wijewardene,runs,22.0,New Zealand,['JD Ryder'],Sri Lanka,New Zealand,bat,New Zealand,R Premadasa Stadium,310923109
Hobart,2010-02-21,male,J Srinath,RJ Tucker,BNJ Oxenford,PR Reiffel,runs,38.0,Australia,['SW Tait'],Australia,West Indies,bat,Australia,Bellerive Oval,311023110
,2010-02-23,male,J Srinath,PR Reiffel,BNJ Oxenford,RJ Tucker,wickets,8.0,Australia,['DA Warner'],Australia,West Indies,bat,West Indies,Sydney Cricket Ground,311123111
,2010-02-05,male,RS Madugalle,BNJ Oxenford,PR Reiffel,RJ Tucker,runs,2.0,Australia,['SW Tait'],Australia,Pakistan,bat,Australia,Melbourne Cricket Ground,311223112
Guyana,2010-04-30,male,AG Hurst,AL Hill,Asad Rauf,BF Bowden,runs,70.0,West Indies,['DJG Sammy'],West Indies,Ireland,bat,West Indies,Providence Stadium,311323113
Guyana,2010-04-30,male,AG Hurst,BR Doctrove,SJ Davis,RE Koertzen,wickets,2.0,New Zealand,['NL McCullum'],New Zealand,Sri Lanka,bat,Sri Lanka,Providence Stadium,311423114
St Lucia,2010-05-01,male,RS Madugalle,SJA Taufel,Aleem Dar,M Erasmus,wickets,7.0,India,['A Nehra'],Afghanistan,India,field,India,"Beausejour Stadium, Gros Islet",311523115
St Lucia,2010-05-01,male,RS Madugalle,SK Tarapore,EAR de Silva,RJ Tucker,runs,21.0,Pakistan,['Salman Butt'],Bangladesh,Pakistan,bat,Pakistan,"Beausejour Stadium, Gros Islet",311623116
Guyana,2010-05-04,male,AG Hurst,Asad Rauf,BF Bowden,AL Hill,,,no result,,England,Ireland,field,Ireland,Providence Stadium,311723117
St Lucia,2010-05-02,male,RS Madugalle,RJ Tucker,Aleem Dar,SJA Taufel,runs,14.0,India,['SK Raina'],India,South Africa,field,South Africa,"Beausejour Stadium, Gros Islet",311823118
St Lucia,2010-05-02,male,RS Madugalle,M Erasmus,EAR de Silva,SK Tarapore,runs,34.0,Australia,['SR Watson'],Australia,Pakistan,bat,Australia,"Beausejour Stadium, Gros Islet",311923119
Guyana,2010-05-04,male,AG Hurst,IJ Gould,Asad Rauf,SJ Davis,runs,7.0,New Zealand,['NL McCullum'],New Zealand,Zimbabwe,field,New Zealand,Providence Stadium,312023120
Guyana,2010-05-03,male,AG Hurst,BF Bowden,AL Hill,RE Koertzen,wickets,8.0,West Indies,['DJG Sammy'],West Indies,England,field,West Indies,Providence Stadium,312123121
Guyana,2010-05-03,male,AG Hurst,SJ Davis,BR Doctrove,IJ Gould,runs,14.0,Sri Lanka,['DPMD Jayawardene'],Sri Lanka,Zimbabwe,bat,Sri Lanka,Providence Stadium,312223122
Barbados,2010-05-05,male,RS Madugalle,BR Doctrove,IJ Gould,SJA Taufel,runs,59.0,South Africa,['M Morkel'],Afghanistan,South Africa,field,Afghanistan,"Kensington Oval, Bridgetown",312323123
Barbados,2010-05-05,male,RS Madugalle,RE Koertzen,Aleem Dar,BR Doctrove,runs,27.0,Australia,['MEK Hussey'],Australia,Bangladesh,bat,Australia,"Kensington Oval, Bridgetown",312423124
Barbados,2010-05-06,male,AG Hurst,SJA Taufel,BF Bowden,RE Koertzen,wickets,6.0,England,['KP Pietersen'],England,Pakistan,field,England,"Kensington Oval, Bridgetown",312523125
Barbados,2010-05-06,male,AG Hurst,BR Doctrove,Aleem Dar,SJ Davis,runs,13.0,South Africa,['JA Morkel'],New Zealand,South Africa,bat,South Africa,"Kensington Oval, Bridgetown",312623126
Barbados,2010-05-07,male,RS Madugalle,IJ Gould,BF Bowden,BR Doctrove,runs,49.0,Australia,['DA Warner'],Australia,India,field,India,"Kensington Oval, Bridgetown",312723127
Barbados,2010-05-07,male,AG Hurst,Aleem Dar,RE Koertzen,SJA Taufel,runs,57.0,Sri Lanka,['DPMD Jayawardene'],West Indies,Sri Lanka,bat,Sri Lanka,"Kensington Oval, Bridgetown",312823128
Barbados,2010-05-08,male,RS Madugalle,RE Koertzen,BR Doctrove,IJ Gould,runs,1.0,New Zealand,['IG Butler'],New Zealand,Pakistan,field,Pakistan,"Kensington Oval, Bridgetown",312923129
Barbados,2010-05-08,male,AG Hurst,SJA Taufel,Aleem Dar,SJ Davis,runs,39.0,England,['KP Pietersen'],England,South Africa,bat,England,"Kensington Oval, Bridgetown",313023130
Barbados,2010-05-09,male,JJ Crowe,SJ Davis,BF Bowden,SJA Taufel,runs,14.0,West Indies,['CH Gayle'],West Indies,India,field,India,"Kensington Oval, Bridgetown",313123131
Barbados,2010-05-09,male,JJ Crowe,BR Doctrove,IJ Gould,RE Koertzen,runs,81.0,Australia,['CL White'],Australia,Sri Lanka,bat,Australia,"Kensington Oval, Bridgetown",313223132
St Lucia,2010-05-10,male,AG Hurst,BF Bowden,BR Doctrove,IJ Gould,runs,11.0,Pakistan,['Umar Akmal'],Pakistan,South Africa,bat,Pakistan,"Beausejour Stadium, Gros Islet",313323133
St Lucia,2010-05-10,male,RS Madugalle,Aleem Dar,SJ Davis,SJA Taufel,wickets,3.0,England,['TT Bresnan'],England,New Zealand,bat,New Zealand,"Beausejour Stadium, Gros Islet",313423134
St Lucia,2010-05-11,male,AG Hurst,IJ Gould,Aleem Dar,SJ Davis,wickets,5.0,Sri Lanka,['AD Mathews'],India,Sri Lanka,bat,India,"Beausejour Stadium, Gros Islet",313523135
St Lucia,2010-05-11,male,RS Madugalle,SJ Davis,BF Bowden,RE Koertzen,wickets,6.0,Australia,['SPD Smith'],West Indies,Australia,bat,West Indies,"Beausejour Stadium, Gros Islet",313623136
St Lucia,2010-05-13,male,AG Hurst,SJ Davis,Aleem Dar,SJA Taufel,wickets,7.0,England,['SCJ Broad'],England,Sri Lanka,bat,Sri Lanka,"Beausejour Stadium, Gros Islet",313723137
St Lucia,2010-05-14,male,RS Madugalle,BF Bowden,BR Doctrove,IJ Gould,wickets,3.0,Australia,['MEK Hussey'],Australia,Pakistan,field,Australia,"Beausejour Stadium, Gros Islet",313823138
Barbados,2010-05-16,male,RS Madugalle,BF Bowden,Aleem Dar,BR Doctrove,wickets,7.0,England,['C Kieswetter'],Australia,England,field,England,"Kensington Oval, Bridgetown",313923139
St Lucia,2010-05-13,female,AJ Pycroft,Asad Rauf,M Erasmus,AL Hill,wickets,7.0,Australia,['AJ Blackwell'],Australia,India,bat,India,"Beausejour Stadium, Gros Islet",314023140
St Lucia,2010-05-14,female,AJ Pycroft,SK Tarapore,EAR de Silva,RJ Tucker,runs,56.0,New Zealand,['SJ McGlashan'],West Indies,New Zealand,field,West Indies,"Beausejour Stadium, Gros Islet",314123141
Barbados,2010-05-16,female,AJ Pycroft,Asad Rauf,EAR de Silva,M Erasmus,runs,3.0,Australia,['EA Perry'],Australia,New Zealand,bat,Australia,"Kensington Oval, Bridgetown",314223142
Paarl,2009-10-28,female,CJ Mitchley,,AT Holdstock,CD Isaacs,runs,2.0,West Indies,['DJS Dottin'],South Africa,West Indies,field,South Africa,Boland Bank Park,314323143
Hamilton,2010-02-03,male,AG Hurst,EA Watkin,GAV Baxter,CB Gaffaney,wickets,10.0,New Zealand,['DL Vettori'],New Zealand,Bangladesh,bat,Bangladesh,Seddon Park,314423144
