city,date,gender,match_referees,tv_umpires,first_umpire,second_umpire,win_by,win_with,result,player_of_match,team_1,team_2,elected_first,toss_winner,venue,mergeid
Kuala Lumpur,2020-02-20,male,,,V Kalidas,D Sevakumaran,runs,21.0,Malaysia,['Khizar Hayat'],Malaysia,Hong Kong,bat,Malaysia,Kinrara Academy Oval,31378231378
Kuala Lumpur,2020-02-21,male,,,Mathan Kumar,V Kalidas,runs,35.0,Malaysia,['Virandeep Singh'],Malaysia,Hong Kong,bat,Malaysia,Kinrara Academy Oval,31379231379
Kuala Lumpur,2020-02-23,male,,,Rudy Ismandy,N Sivan,runs,8.0,Malaysia,['Ahmed Faiz'],Malaysia,Hong Kong,bat,Malaysia,Kinrara Academy Oval,31380231380
Kuala Lumpur,2020-02-24,male,,,L Poobalan,V Kalidas,runs,13.0,Malaysia,['Virandeep Singh'],Malaysia,Hong Kong,bat,Malaysia,Kinrara Academy Oval,31381231381
Kuala Lumpur,2020-02-26,male,,,Nasir Ali,V Kalidas,wickets,6.0,Malaysia,['KD Shah'],Malaysia,Hong Kong,bat,Hong Kong,Kinrara Academy Oval,31382231382
Al Amarat,2020-02-25,male,,,Riyaz Kurupkar,Mohammed Younis,wickets,10.0,Oman,['Khawar Ali'],Oman,Maldives,field,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),31383231383
Al Amarat,2020-02-25,male,,,Afzal Pathan,Imran Mustafa,runs,12.0,United Arab Emirates,['Chirag Suri'],Saudi Arabia,United Arab Emirates,bat,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),31384231384
Al Amarat,2020-02-25,male,,,Anantha Rajamani,Afzal Pathan,wickets,6.0,Bahrain,['Sarfaraz Ali'],Bahrain,Qatar,bat,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),31385231385
Al Amarat,2020-02-25,male,,,Riyaz Kurupkar,Rahat Ali,wickets,8.0,Kuwait,['MNM Aslam'],Iran,Kuwait,field,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),31386231386
Al Amarat,2020-02-26,male,,,Riyaz Kurupkar,Rahat Ali,runs,87.0,Kuwait,['R Sandaruwan'],Kuwait,Bahrain,field,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),31387231387
Al Amarat,2020-02-26,male,,,Imran Mustafa,Afzalkhan Pathan,runs,28.0,United Arab Emirates,['Junaid Siddique'],Qatar,United Arab Emirates,bat,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),31388231388
Al Amarat,2020-02-27,male,,,Afzalkhan Pathan,Rahat Ali,runs,102.0,United Arab Emirates,['Sultan Ahmed'],Kuwait,United Arab Emirates,field,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),31389231389
Greater Noida,2020-03-06,male,RB Richardson,Ahmed Shah Pakteen,Bismillah Shinwari,Ahmed Shah Durrani,runs,11.0,Afghanistan,['Rashid Khan'],Afghanistan,Ireland,bat,Ireland,Greater Noida Sports Complex Ground,31390231390
Greater Noida,2020-03-08,male,RB Richardson,Bismillah Shinwari,Ahmed Shah Pakteen,Izatullah Safi,runs,21.0,Afghanistan,['Mujeeb Ur Rahman'],Afghanistan,Ireland,bat,Afghanistan,Greater Noida Sports Complex Ground,31391231391
Greater Noida,2020-03-10,male,RB Richardson,Ahmed Shah Durrani,Bismillah Shinwari,Ahmed Shah Pakteen,,,tie,"[""KJ O'Brien""]",Afghanistan,Ireland,bat,Ireland,Greater Noida Sports Complex Ground,31392231392
Bangkok,2020-02-29,male,,,SV Sarda,V Kalidas,runs,43.0,Singapore,['Sidhant Singh'],Thailand,Singapore,field,Thailand,Terdthai Cricket Ground,31393231393
Bangkok,2020-03-01,male,,,Arif Ansari,V Kalidas,runs,43.0,Hong Kong,['Haroon Arshad'],Hong Kong,Nepal,field,Nepal,Terdthai Cricket Ground,31394231394
Bangkok,2020-03-01,male,,,B Manikandan,Sanjay Gurung,wickets,8.0,Malaysia,['Pavandeep Singh'],Thailand,Malaysia,bat,Thailand,Terdthai Cricket Ground,31395231395
Bangkok,2020-03-03,male,,,Arif Ansari,AK Rana,runs,128.0,Singapore,,Malaysia,Singapore,bat,Singapore,Terdthai Cricket Ground,31396231396
Bangkok,2020-03-03,male,,,V Kalidas,Sanjay Gurung,wickets,8.0,Hong Kong,,Thailand,Hong Kong,bat,Thailand,Terdthai Cricket Ground,31397231397
Bangkok,2020-03-04,male,,,B Manikandan,Sanjay Gurung,wickets,9.0,Nepal,['Karan KC'],Thailand,Nepal,bat,Thailand,Terdthai Cricket Ground,31398231398
Bangkok,2020-03-04,male,,,Samad Akbar,V Kalidas,runs,16.0,Singapore,['Manpreet Singh'],Hong Kong,Singapore,bat,Singapore,Terdthai Cricket Ground,31399231399
Bangkok,2020-03-06,male,,,B Manikandan,Sanjay Gurung,wickets,6.0,Hong Kong,,Hong Kong,Malaysia,bat,Malaysia,Terdthai Cricket Ground,31400231400
Brisbane,2020-09-26,female,RW Stratford,MW Graham-Smith,BNJ Oxenford,DM Koch,runs,17.0,Australia,['A Gardner'],Australia,New Zealand,field,New Zealand,Allan Border Field,31401231401
Brisbane,2020-09-27,female,RW Stratford,DM Koch,BNJ Oxenford,MW Graham-Smith,wickets,8.0,Australia,['S Molineux'],New Zealand,Australia,bat,New Zealand,Allan Border Field,31402231402
Brisbane,2020-09-30,female,RW Stratford,BNJ Oxenford,MW Graham-Smith,DM Koch,wickets,5.0,New Zealand,['AC Kerr'],Australia,New Zealand,field,New Zealand,Allan Border Field,31403231403
Canberra,2020-12-04,male,DC Boon,P Wilson,RJ Tucker,SAJ Craig,runs,11.0,India,['YS Chahal'],India,Australia,field,Australia,Manuka Oval,31404231404
Sydney,2020-12-06,male,DC Boon,RJ Tucker,P Wilson,SJ Nogajski,wickets,6.0,India,['HH Pandya'],Australia,India,field,India,Sydney Cricket Ground,31405231405
Sydney,2020-12-08,male,DC Boon,P Wilson,GA Abood,RJ Tucker,runs,12.0,Australia,['MJ Swepson'],Australia,India,field,India,Sydney Cricket Ground,31406231406
